Target_Date,Stock,news_count,avg_sentiment,avg_fused_score,avg_bert_score,avg_lexicon_score,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,sentiment_momentum
2023-01-01,SCB,1,0.0,-0.0555,-0.0793,0.0,0,0,1,0.0,0.0,0.0
2023-01-03,DELTA,4,0.5,0.1589,0.0127,0.5,2,0,2,0.5,0.0,0.5
2023-01-04,AOT,1,0.0,-0.0123,-0.0175,0.0,0,0,1,0.0,0.0,0.0
2023-01-04,DELTA,6,-0.1667,-0.0838,-0.1159,-0.0088,0,1,5,0.0,0.167,0.1667
2023-01-04,PTT,1,0.0,0.0069,0.0098,0.0,0,0,1,0.0,0.0,0.0
2023-01-05,DELTA,2,-0.5,-0.1822,-0.0459,-0.5,0,1,1,0.0,0.5,-0.0556
2023-01-06,DELTA,1,0.0,0.1143,-0.051,0.5,0,0,1,0.0,0.0,-0.2222
2023-01-06,PTT,1,0.0,0.0153,0.0218,0.0,0,0,1,0.0,0.0,0.0
2023-01-06,SCB,1,0.0,0.0317,0.0063,0.0909,0,0,1,0.0,0.0,0.0
2023-01-07,SCB,1,1.0,0.2952,-0.0069,1.0,1,0,0,1.0,0.0,0.3333
2023-01-09,DELTA,1,-1.0,-0.617,-0.4529,-1.0,0,1,0,0.0,1.0,-0.5
2023-01-09,SCB,2,0.0,0.0044,0.0064,0.0,0,0,2,0.0,0.0,0.3333
2023-01-10,ADVANC,1,0.0,0.014,0.02,0.0,0,0,1,0.0,0.0,0.0
2023-01-10,AOT,1,-1.0,-0.2965,0.005,-1.0,0,1,0,0.0,1.0,-0.5
2023-01-10,SCB,1,0.0,-0.0027,-0.0038,0.0,0,0,1,0.0,0.0,0.3333
2023-01-13,AOT,1,0.0,-0.0052,-0.0074,0.0,0,0,1,0.0,0.0,-0.3333
2023-01-13,PTT,1,1.0,0.1918,-0.1545,1.0,1,0,0,1.0,0.0,0.3333
2023-01-14,PTT,2,-0.5,-0.171,-0.03,-0.5,0,1,1,0.0,0.5,0.1667
2023-01-16,ADVANC,1,0.0,-0.1415,0.0122,-0.5,0,0,1,0.0,0.0,0.0
2023-01-16,PTT,1,-1.0,-0.3001,-0.0002,-1.0,0,1,0,0.0,1.0,-0.1667
